================================================================================
PROFILE REPORT - CPU TIME
================================================================================

-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                ProfilerStep*         0.07%     540.705us       100.00%     818.668ms      40.933ms           0 b           0 b            20  
               MOVE_ITERATION         0.10%     817.441us        99.24%     812.451ms      40.623ms           0 b           0 b            20  
                   board_step         2.24%      18.355ms        84.30%     690.122ms      34.506ms           0 b         -48 b            20  
                aten::nonzero        22.45%     183.801ms        34.14%     279.524ms     749.393us           0 b           0 b           373  
                   aten::item         0.07%     557.036us        25.92%     212.171ms     152.641us           0 b         -99 b          1390  
    aten::_local_scalar_dense        25.73%     210.672ms        25.85%     211.614ms     152.240us          99 b      -3.70 Kb          1390  
                  aten::index         0.58%       4.753ms        21.43%     175.423ms     374.835us           0 b           0 b           468  
             aten::is_nonzero         0.02%     174.782us        14.76%     120.799ms     272.685us           0 b           0 b           443  
               aten::bincount         2.78%      22.799ms         9.95%      81.487ms       4.289ms           0 b           0 b            19  
          compute_legal_moves         0.47%       3.882ms         8.12%      66.498ms       3.325ms           0 b         -48 b            20  
             aten::index_put_         0.02%     162.119us         7.80%      63.889ms     251.531us           0 b           0 b           254  
       aten::_index_put_impl_         0.29%       2.407ms         7.78%      63.727ms     250.893us           0 b           0 b           254  
             bot_select_moves         0.19%       1.526ms         6.58%      53.864ms       2.693ms           0 b           0 b            20  
                  aten::copy_         5.73%      46.941ms         5.73%      46.941ms      16.401us           0 b           0 b          2862  
                     aten::to         0.02%     204.019us         5.64%      46.169ms      52.405us           0 b           0 b           881  
               aten::_to_copy         0.08%     618.142us         5.61%      45.965ms      68.298us           0 b           0 b           673  
                 aten::arange         2.79%      22.814ms         5.57%      45.610ms       1.200ms           0 b           0 b            38  
          aten::count_nonzero         4.25%      34.824ms         4.28%      35.073ms      94.029us           0 b           0 b           373  
                    aten::any         3.71%      30.398ms         3.71%      30.412ms      71.896us           0 b           0 b           423  
                   aten::rsub         0.01%     106.793us         3.20%      26.236ms     444.678us          16 b          16 b            59  
                    aten::sub         3.19%      26.107ms         3.19%      26.129ms     442.868us           0 b           0 b            59  
